Year,Geographic Area Name,Population 25 years and over - Less than 9th grade,Percent Population 25 years and over - Less than 9th grade,Population 25 years and over - 9th to12th (No Diploma),Percent Population 25 years and over - 9th to12th (No Diploma),Population 25 years and over - High School Graduate (and equivalent),Percent Population 25 years and over - High School Graduate (and equivalent),"Population 25 years and over - Some college, no degree","Percent Population 25 years and over - Some college, no degree",Population 25 years and over - Associate's degree,Percent Population 25 years and over - Associate's degree,Population 25 years and over - Bachelor's degree,Percent Population 25 years and over - Bachelor's degree,Population 25 years and over - Graduate or Prefessional Degree,Percent Population 25 years and over - Graduate or Prefessional Degree
2016,Florence-Graham,13837,38.4,5160,14.3,9103,25.3,4897,13.6,1552,4.3,1298,3.6,169,0.5
2016,Folsom,1805,3.4,1948,3.7,7605,14.4,11499,21.8,4770,9.1,15123,28.7,9952,18.9
2016,Fontana,17496,13.7,15367,12.0,36703,28.7,27691,21.6,8040,6.3,17088,13.3,5652,4.4
2016,Fremont,3435,2.1,6558,4.0,29003,17.9,24125,14.9,7837,4.8,49000,30.2,42358,26.1
2016,Fresno,40291,12.7,34943,11.1,70301,22.2,74574,23.6,27750,8.8,44280,14.0,23880,7.6
2016,Fullerton,6313,6.7,4985,5.3,17903,19.1,17559,18.7,6976,7.4,26143,27.9,13786,14.7
2016,Garden Grove,15195,13.0,14093,12.1,25438,21.8,26961,23.1,7639,6.5,21330,18.2,6275,5.4
2016,Glendale,11632,7.8,7184,4.8,27813,18.6,24035,16.0,15408,10.3,41382,27.6,22328,14.9
2016,Hawthorne,7450,13.2,6309,11.2,13131,23.2,13482,23.8,3986,7.0,8163,14.4,4029,7.1
2016,Hayward,12781,12.0,7992,7.5,30196,28.3,19712,18.5,7551,7.1,20866,19.5,7692,7.2
2016,Hemet,5149,9.5,4934,9.1,17749,32.8,15336,28.3,4661,8.6,4213,7.8,2086,3.9
2016,Hesperia,6809,11.8,8930,15.4,20566,35.5,11815,20.4,4005,6.9,4014,6.9,1738,3.0
2016,Huntington Beach,5411,3.7,5274,3.6,22996,15.6,37449,25.4,15468,10.5,38853,26.3,22213,15.0
2016,Indio,6584,11.0,7249,12.1,21708,36.3,11925,20.0,3677,6.2,5132,8.6,3474,5.8
2016,Inglewood,8927,11.6,8385,10.9,16101,21.0,19968,26.0,6084,7.9,11169,14.6,6120,8.0
2016,Irvine,2314,1.4,2950,1.7,13972,8.2,18155,10.7,10862,6.4,67590,39.7,54220,31.9
2016,Jurupa Valley,11381,17.8,9499,14.8,19438,30.3,14109,22.0,3383,5.3,3963,6.2,2324,3.6
2016,Laguna Niguel,1109,2.3,1334,2.8,5211,11.0,9712,20.5,3832,8.1,16183,34.2,9967,21.1
2016,Lake Forest,2130,3.6,1993,3.4,8586,14.6,13691,23.3,4404,7.5,17764,30.2,10292,17.5
2016,Lakewood,2287,4.3,2599,4.9,11203,21.0,15402,28.8,6288,11.8,11000,20.6,4634,8.7
2016,Lancaster,8397,8.3,11271,11.2,31055,30.8,21772,21.6,10805,10.7,10820,10.7,6648,6.6
2016,Livermore,3162,5.1,2232,3.6,10783,17.3,15946,25.6,6213,10.0,15293,24.5,8730,14.0
